week,mean_array_015,mean_array_033,mean_array_2,mean_array_h
104,14.125,14.107499999999998,14.170499999999997,14.063599999999997
105,14.176199999999993,14.095399999999994,14.1687,14.053799999999999
106,14.223200000000004,13.989499999999994,14.157400000000003,14.002499999999998
107,14.1933,14.1046,14.191199999999997,13.927600000000005
108,14.134799999999995,14.134799999999998,14.188099999999997,13.8736
109,14.216300000000004,14.108099999999995,14.038399999999998,13.908199999999999
110,14.118799999999997,14.013799999999994,14.111799999999995,13.983200000000005
111,14.13589999999999,14.159699999999997,14.019799999999998,14.095199999999995
112,14.105000000000002,14.163199999999993,14.109100000000002,14.179200000000003
113,14.0781,14.131799999999997,14.143600000000003,14.163699999999999
114,14.1405,14.0799,14.096800000000004,14.117299999999995
115,14.129100000000005,14.100100000000005,14.115099999999995,14.088100000000004
116,14.228000000000003,14.152499999999998,14.084599999999993,14.1445
117,14.198100000000002,14.149000000000008,14.124700000000004,14.230299999999994
118,14.128599999999999,14.206899999999996,14.145999999999999,14.221099999999993
119,14.112399999999996,14.173600000000004,14.152399999999998,14.13549999999999
120,14.077200000000003,14.170000000000002,14.166699999999997,14.068600000000002
121,14.078600000000002,14.143400000000009,14.175300000000004,14.152199999999993
122,14.145500000000002,14.1574,14.142599999999998,14.1197
123,14.053100000000004,14.142399999999999,14.1748,14.176900000000007
124,14.087800000000001,14.155200000000002,14.178099999999995,14.253499999999999
125,14.066400000000002,14.140400000000005,14.172199999999998,14.250199999999998
126,14.061599999999999,14.052899999999998,14.0932,14.184600000000003
127,14.107099999999997,14.071399999999997,14.072199999999999,14.153499999999994
128,14.1119,14.055100000000003,14.1226,14.154800000000002
129,14.0098,14.123600000000003,14.109200000000001,14.198200000000003
130,14.031799999999999,14.133199999999993,14.141000000000004,14.168599999999994
131,14.074699999999991,14.145099999999998,14.218400000000013,14.1671
132,14.0613,14.043000000000001,14.216900000000004,14.184400000000004
133,14.064599999999999,14.0555,14.173200000000003,14.256800000000004
134,14.053300000000002,14.1257,14.177400000000004,14.187100000000004
135,14.060600000000004,14.113099999999998,14.1829,14.146999999999998
136,14.051999999999998,14.178600000000001,14.146499999999996,14.254000000000001
137,14.049299999999995,14.21,14.212000000000003,14.1974
138,13.981699999999996,14.221100000000003,14.195600000000002,14.114300000000004
139,14.066499999999998,14.237399999999996,14.172300000000005,14.2422
140,14.089599999999997,14.218700000000002,14.178100000000002,14.186299999999996
141,14.092099999999995,14.133300000000002,14.189900000000002,14.185000000000008
142,14.170400000000003,14.157300000000003,14.214500000000001,14.183099999999998
143,14.194499999999998,14.129300000000002,14.255600000000006,14.263100000000003
