week,row_var_w_tot_015,row_var_w_tot_033,row_var_w_tot_2,row_var_w_tot_h,row_var_fem_w_015,row_var_fem_w_033,row_var_fem_w_2,row_var_fem_w_h,row_var_male_w_015,row_var_male_w_033,row_var_male_w_2,row_var_male_w_h
71,26.222525612561277,20.96485847584757,18.461051545154373,18.248199819981988,13.063003860386035,11.264932253225314,10.463220712071196,10.603328242824269,5.068177817781776,4.639460336033614,4.2662485348534815,4.297631673167322
72,25.595620672067227,21.04332349234926,18.58441168116812,18.269651275127554,13.074712581258156,11.454660626062607,10.579937953795381,10.459790289028899,4.882220662066206,4.567425382538247,4.350609300930058,4.260601060106008
73,25.837098099809978,21.230582808280786,17.8448782378238,18.47680607060706,13.036705230523065,11.486675707570754,10.437602950295013,10.446392629262967,4.978343344334448,4.608426032603279,4.217498189818975,4.287019701970199
74,25.735363926392584,20.900291269126903,18.126724312431236,18.197507500750092,12.97969571957199,11.269459655965592,10.4239501450145,10.502870127012706,5.10368280828084,4.5845643664366555,4.256987288728872,4.262281018101803
75,25.76465205520551,20.9156592059207,18.515752765276527,18.399070267026673,12.894236613661377,11.195252165216548,10.326431643164325,10.593435503550369,5.0649824982498215,4.566831683168309,4.413639753975414,4.293251365136522
76,25.450907930793,20.84353346334636,18.58120548054802,18.160509800980115,12.856642424242438,11.284896649664939,10.667876697669767,10.309597749774978,4.982393279327928,4.460540844084425,4.366816431643163,4.321123152315231
77,25.97770376037592,20.774278937893815,18.07988597859787,18.201159275927573,13.05001184118409,11.17294704470448,10.310240614061408,10.28889663966391,5.017307640764071,4.458348394839476,4.2756185618562,4.28958646864687
78,26.232884398439854,20.965814171417158,18.522639103910404,17.813889138913876,13.444004840484068,11.269220672067227,10.475938633863414,10.02230427042705,4.975821572157208,4.553074147414739,4.375276527652771,4.2893905290529
79,26.11831439143919,20.830183018301835,18.67896940694068,17.170128522852263,13.229820492049198,11.16891960196021,10.68239798979898,9.920520012001194,4.982408630863101,4.561672877287743,4.2792104810481115,4.170926842684263
80,25.96510426042606,20.682213781378035,18.159091069106907,17.838782878287827,13.257833623362295,11.117029452945278,10.343061466146597,10.111013491349128,5.01789257925792,4.56593730373035,4.268526852685281,4.329900580058014
81,26.22431379137918,21.166011711171286,17.86522123212321,17.977308290829104,13.353551195119485,11.457186508650862,10.266951135113517,10.248040804080425,5.089688808880853,4.56769692969298,4.209633753375331,4.2406178217821715
82,26.559992789278912,21.028918481848173,17.96687812781278,18.184186378637897,13.39953959395941,11.298141004100405,10.273354125412538,10.368205530553073,5.119151665166514,4.5428102810281015,4.2273094409440874,4.160659815981594
83,26.29137888788882,20.93581258125821,18.112092319231902,18.431044344434447,13.420439283928404,11.387915751575203,10.347533313331306,10.510436953695363,5.1080203920392195,4.553664926492644,4.251734923492342,4.381659755975603
84,26.13840759075907,21.571347524752447,18.38551755175519,17.67299720972097,13.210091849184927,11.618611611161128,10.396628372837313,10.199920302030197,5.063901980198005,4.590557295729581,4.26261337133712,4.1768816881688124
85,25.72781822182217,21.308994009401026,18.254387998799896,17.92328688868887,13.034899079908019,11.391388888888907,10.526942444244431,10.287916151615141,5.004622772277223,4.580874247424722,4.252682378237836,4.226710511051117
86,25.841237233723422,21.181716531653187,18.161919301930194,18.485736533653345,13.008463636363652,11.462731233123304,10.521245634563499,10.417522142214203,5.1549586558655935,4.567344374437449,4.121971197119704,4.268952485248524
87,25.94556079607941,21.175650675067512,17.934547014701476,18.14015192519251,13.124338993899373,11.533951955195494,10.298919451945103,10.334711221122127,5.046283668366833,4.474471037103675,4.310631063106312,4.2745132113211195
88,25.977226162616326,21.19900786078609,17.986130523052307,18.049683968396803,13.115555945594577,11.482179327932796,10.325630313031306,10.201693759376017,5.058923642364236,4.597980188018799,4.1720109610961025,4.315357925792581
89,26.436491399139925,21.129128912891304,18.30920692069207,18.208484688468975,13.400499639963957,11.370923882388151,10.282015791579171,10.413701810181013,5.185502190219022,4.624766866686663,4.354913481348141,4.279925552555261
90,26.44087352735275,20.70935729572961,18.069397939793948,18.43747365736575,13.279942034203389,11.271631123112336,10.257689768976919,10.659062346234634,5.145930553055262,4.4927332733273335,4.205939593959385,4.242174527452744
91,26.432712031203067,21.316148324832486,18.055017341734153,18.407851945194523,13.331629162916297,11.57326036603662,10.36514642464247,10.365819941994129,5.121984158415842,4.536948004800477,4.213956905690578,4.403511351135109
92,26.329858575857607,21.778441684168293,18.135744134413464,17.866836273627356,13.335213681368131,11.752464806480681,10.422469086908663,10.339784768476857,5.14927643764376,4.664982938293811,4.24078243824382,4.2106650665066505
93,25.984642464246406,20.890603450345047,18.218421842184217,17.784702470247012,13.137111461146077,11.335960156015586,10.610635303530316,10.318938683868392,5.091348884888488,4.528339223922376,4.218596099609929,4.187826772677286
94,26.554062516251584,21.283504340434042,18.771409850985084,18.393128872887296,13.453768886888685,11.700654065406534,10.472122402240215,10.396224412441267,5.151097349734978,4.528083598359804,4.354965256525658,4.3677787678767785
95,26.268475157515763,21.17107981798183,18.76428417841787,18.51264962496249,13.36983698369842,11.449947704770496,10.561421652165103,10.606104770477064,5.0539357035703505,4.448575697569762,4.401782538253847,4.355626562656282
96,26.54880332033197,20.938132173217344,18.306178527852804,18.319121662166307,13.440391789178934,11.209322172217217,10.25980802080208,10.515322532253228,5.121848574857477,4.649122352235224,4.349956105610574,4.197163466346633
97,26.238695059506043,21.01225318531857,18.370651775177542,18.356219131913193,13.049520792079184,11.433463986398657,10.30207139713971,10.326784268426852,5.17467177717771,4.552090049004898,4.397690809080935,4.3385678967896935
98,25.761970907090692,20.85857049704971,17.96208691869188,18.379852695269552,13.144390439043917,11.300642374237382,10.250834643464355,10.700549054905453,5.096497559755982,4.533221712171226,4.252713021302127,4.225496859685964
99,26.097935783578354,21.241843184318434,18.039122912291187,17.922550295029477,13.166414391439142,11.412565646564671,10.347776817681785,10.142647504750549,5.053644404440437,4.5469638863886335,4.197746014601458,4.3423182318231905
100,25.80783589358937,20.975689208920873,18.246901080108,18.24909946994698,12.94624941494147,11.432118851885173,10.363140224022422,10.208395229522944,5.056157775777583,4.532153215321539,4.227627202720272,4.331180628062803
101,26.107689768976854,21.072515161516154,18.50497080708069,18.158020192019194,13.084766226622673,11.515627552755278,10.583646114611456,10.514229182918328,5.163546104610438,4.550502890289031,4.318175777577758,4.214145724572458
102,25.691005810581014,21.48062706270627,18.068016561656158,17.860287618761845,12.985585668566843,11.484631653165302,10.363500260025996,10.35588597859787,5.010004640464061,4.696641654165417,4.300447794779496,4.16905590559056
103,26.089159705970623,21.075100950095024,17.869018541854174,18.65899180918086,13.282913081308118,11.44977408740872,10.26229413941393,10.522821472147198,5.091684168416865,4.481938183818394,4.257926982698274,4.387501310130996
104,25.653190879087937,20.99151419141907,18.1324214021402,18.379899979997987,13.107710281028092,11.302939853985402,10.369282518251802,10.324707580758087,5.011421532153212,4.607910031003078,4.1804715571557045,4.25977541754175
105,26.056275987598774,20.791274287428735,18.54895153515353,18.347594509450957,13.147705770577073,11.375456735673582,10.55821357135715,10.496777427742854,5.093475907590795,4.476568046804678,4.275869176917704,4.277003700370038
106,26.13157791779176,21.06356091609164,18.062346944694426,17.89811140114013,13.266326622662271,11.400199769976988,10.274403080308016,10.266364546454636,4.987137823782374,4.601431653165328,4.30286387638763,4.277244964496439
107,26.21953071307127,21.17642355235524,17.873387338733867,18.037179077907812,13.10660842084206,11.349685328532845,10.357580868086893,10.266270377037698,5.1883568756875675,4.590008750875072,4.088277937793787,4.264573567356742
108,26.03691640164017,21.14809799979998,17.738009640964087,17.88940669066905,13.096003350335016,11.454789228922877,10.19624937493752,10.197736163616424,5.0837453345334565,4.584923932393234,4.194411431143114,4.221162556255638
109,26.172821282128165,20.966095799580014,18.130827792779268,18.78622237223725,13.075075817581737,11.325384928492863,10.367346774677474,10.579344174417463,5.2055492649264865,4.574821482148235,4.2947666666666695,4.313635353535341
110,26.428796119611988,21.168894799479922,18.16716771677168,18.347424782478253,13.28846468646862,11.479886378637849,10.477566756675738,10.390307670767086,5.192630263026303,4.5122143814381515,4.2140174017401675,4.333744374437445
111,26.392838323832336,21.77624633463343,18.18118575857591,18.423180878087813,13.260469796979722,11.827884828482867,10.38957670767075,10.430085248524872,5.142249014901476,4.61058536853686,4.152874877487744,4.204503010301032
112,27.004938533853394,21.525834573457352,17.950826722672254,18.13931409140913,13.62098984898491,11.615544664466444,10.235002340234022,10.440919601960179,5.21635362536255,4.637052145214503,4.317235723572352,4.2161993699369935
113,26.834497489749,21.384359395939565,17.851846774677448,18.090168766876662,13.562395989598961,11.510028752875304,10.17303249324929,10.454265176517653,5.226177007700775,4.623512661266119,4.189009900990099,4.205379537953786
114,26.831173827382727,21.617706080608052,18.261124952495248,18.244981688168796,13.465406700670014,11.657194479447941,10.429584948494835,10.402568896889681,5.245756565656582,4.702880038003788,4.296519401940193,4.251109020902096
115,26.508677177717818,21.82043388338831,17.951274967496687,18.267206470647054,13.308478207820785,11.909236963696388,10.309389248924848,10.450926052605247,5.12851044104412,4.665105510551039,4.194418631863176,4.153332843284334
116,26.32989662966285,21.828590849084886,17.71935864586456,18.08326368636866,13.325408540854104,11.68663966396641,10.26466621662165,10.289606710671055,5.075745614561457,4.709515341534166,4.1931424742474315,4.1757570857085655
117,26.785000890089076,21.42988673867386,17.735013891389162,18.70287947794778,13.433668076807688,11.633851375137528,10.171615201520156,10.724312421242118,5.282952135213502,4.6135075907590775,4.1746472147214515,4.212395599559958
118,26.99753351335131,21.44586262626261,18.14111487148716,18.28571968196823,13.83267442744273,11.655370977097633,10.364090449044923,10.39602484248426,5.201931033103279,4.602276187618803,4.195115351535121,4.281441654165423
119,26.965671567156797,21.45788562856284,18.71086208620863,18.138188178817856,13.545290489048913,11.522871287128721,10.606210371037191,10.312892799279924,5.254406400640062,4.686394679467924,4.295517301730178,4.331470897089699
120,26.423335773577424,20.95807080708072,18.35367911791178,18.554672427242693,13.292569006900697,11.39352574257423,10.66421426142613,10.538604860486029,5.203267116711676,4.523510741074101,4.212400830083023,4.306385798579867
121,26.772530013001322,21.58728383838387,18.210505810581026,18.166715831583172,13.513654725472502,11.749218111811183,10.487022742274256,10.210507290729094,5.279366936693681,4.615654805480577,4.199647804780483,4.32118407840783
122,26.706048994899557,20.932779667966827,18.017290369036942,18.401841744174437,13.544543244324412,11.4193958495849,10.216332633263333,10.589546464646508,5.166372637263739,4.561292289228922,4.2589951395139565,4.221100500050002
123,26.6348346434643,20.84460190019001,18.29161220122013,19.033309720972102,13.200189528952864,10.990808270827097,10.662995889588956,10.794048114811497,5.130826672667267,4.706214371437128,4.176095359536002,4.34459281928193
124,26.537800340034043,21.14324516451647,18.122488248824887,18.558588298829886,13.509834983498372,11.493469256925717,10.211237513751382,10.678767876787676,5.106211581158098,4.546082118211824,4.277328522852275,4.294033843384329
125,26.60123771377136,21.27390239023898,18.467760016001606,18.129042654265437,13.340533803380344,11.760639973997382,10.424901530153013,10.372829592959313,5.158685308530865,4.545020412041214,4.255744574457448,4.278521612161227
126,26.68384342434246,21.019551195119448,17.739483388338847,18.15652764276427,13.419574747474769,11.39041008100809,10.043456335633506,10.36761755175508,5.131106860686064,4.593220882088214,4.233321082108207,4.253849384938505
127,26.680612061206105,21.13349493949385,17.72109146914705,18.511696929692945,13.596050715071522,11.502766986698633,10.30177593759374,10.611463056305647,5.090429752975307,4.582754235423541,4.057531993199317,4.230560646064607
128,26.429076147614843,21.311020852085235,17.889789288928906,18.394239383938377,13.468923202320276,11.597249474947475,10.108828442844278,10.577283288328836,5.0727475847585,4.502225222522258,4.288020792079207,4.19310331033104
129,26.159282238223863,21.08336977697769,17.92199119911993,18.761607000700092,13.225011741174102,11.393068816881724,10.242133803380332,10.834562496249607,5.177446054605481,4.607217431743186,4.242447034703478,4.322653025302518
130,26.466829392939257,21.854363426342644,17.808079197919763,18.09092828282827,13.079507950795133,11.877150875087509,10.269096949694974,10.428032713271321,5.223497059705972,4.612561966196609,4.268363946394638,4.253650005000486
